;svs_x;epoch;ele;azi;PhaseL1-L2;codeP2-P1;Vtec
312;G11;9360;83.256;7.477;-1751656.56;1063683.304;
313;G11;9390;83.057;8.643;-1751760.377;1069298.669;
314;G11;9420;82.857;9.75;-1751779.674;1108701.396;
315;G11;9450;82.654;10.803;-1751774.52;1086715.817;
316;G11;9480;82.45;11.806;-1751713.221;1078911.412;
317;G11;9510;82.245;12.762;-1751910.006;1081481.155;
318;G11;9540;82.038;13.675;-1751863.495;1141441.828;
319;G11;9570;81.83;14.548;-1752023.453;1135826.463;
320;G11;9600;81.621;15.383;-1752191.258;1094900.925;
321;G11;9630;81.409;16.164;-1752135.689;1069203.493;
322;G11;9660;81.196;16.913;-1752140.793;1058067.94;
323;G11;9690;80.982;17.633;-1752151.63;1049978.008;
324;G11;9720;80.768;18.325;-1752069.496;1093378.114;
325;G11;9750;80.553;18.991;-1752517.117;1126499.247;
326;G11;9780;80.337;19.633;-1752367.064;1082623.263;
327;G11;9810;80.121;20.253;-1752201.313;1104513.667;
328;G11;9840;79.905;20.852;-1752263.462;1115363.694;
329;G11;9870;79.688;21.431;-1752359.72;1105655.775;
330;G11;9900;79.47;21.991;-1752291.768;1108606.221;
331;G11;9930;79.253;22.534;-1752307.128;1120979.059;
332;G11;9960;79.035;23.06;-1752455.906;1132780.842;
333;G11;9990;78.816;23.571;-1752276.265;1090808.371;
334;G11;10020;78.598;24.067;-1752462.17;1075960.966;
335;G11;10050;78.379;24.55;-1752362.218;1039127.981;
336;G11;10080;78.161;25.02;-1752501.937;1085193.006;
337;G11;10110;77.942;25.477;-1752354.29;1080053.519;
338;G11;10140;77.723;25.923;-1752203.019;1074438.155;
339;G11;10170;77.503;26.358;-1752009.489;1071868.412;
340;G11;10200;77.284;26.782;-1751991.335;1092331.181;
341;G11;10230;77.063;27.182;-1751826.781;1085573.709;
342;G11;10260;76.842;27.573;-1752041.658;1098993.478;
343;G11;10290;76.622;27.956;-1751772.66;1092236.006;
344;G11;10320;76.401;28.33;-1751846.267;1079672.817;
345;G11;10350;76.18;28.697;-1751941.004;1054356.089;
346;G11;10380;75.959;29.056;-1752090.375;1077483.776;
347;G11;10410;75.738;29.409;-1752253.33;1095281.627;
348;G11;10440;75.517;29.755;-1752068.847;1134589.179;
349;G11;10470;75.296;30.095;-1751904.589;1067680.683;
350;G11;10500;75.076;30.429;-1751964.306;1077007.898;
351;G11;10530;74.855;30.757;-1751802.461;1137254.098;
352;G11;10560;74.635;31.08;-1752058.987;1102039.1;
353;G11;10590;74.414;31.397;-1752173.338;1081576.33;
354;G11;10620;74.194;31.71;-1752099.633;1127641.356;
355;G11;10650;73.974;32.018;-1752118.898;1098993.479;
356;G11;10680;73.754;32.321;-1751932.599;1069298.669;
357;G11;10710;73.534;32.62;-1752013.441;1081576.33;
358;G11;10740;73.314;32.915;-1752135.637;1051405.642;
359;G11;10770;73.095;33.205;-1752021.479;1093853.992;
360;G11;10800;72.875;33.492;-1752020.818;1096423.736;
