parc	Punta Arenas                                 	Chile                           	289.1201	-53.137	22	G2                 
park	Parkes                                       	Australia                       	148.2646	-32.9988	397.4	GA                 
pdel	Ponta Delgada                                	Portugal                        	334.3372	37.7477	110.8	IGP                
penc	Penc                                         	Hungary                         	19.2815	47.7896	291.7	FÖMI SGO           
pert	Perth                                        	Australia                       	115.8852	-31.8019	12.92	ESOC               
petp	Petropavlovsk-Kamchatka                      	Russian Federation              	158.607	53.0667	211.0343	KOMSP              
pets	Petropavlovsk-Kamchatka                      	Russian Federation              	158.6501	53.0233	102.2	KOMSP              
picl	PICKLE LAKE                                  	CANADA                          	269.838	51.4798	315.1	NRCan/GFZ          
pie1	Pie Town                                     	USA                             	251.8811	34.3015	2347.7109	JPL                
pimo	Quezon City                                  	Philippines                     	121.0777	14.6357	95.532	JPL                
pin1	Pinyon Flat                                  	USA                             	243.54	33.61	1256.17	SIO                
pol2	Bishkek                                      	Kyrghyzstan                     	74.6943	42.6798	1714.2	JPL                
polv	Poltava                                      	Ukraine                         	34.5429	49.6026	178.1	RIGC               
pots	Potsdam                                      	Germany                         	13.07	52.38	174	GFZ                
pove	Porto Velho                                  	Brasil                          	296.1037	-8.7093	119.6	IBGE               
prds	CALGARY                                      	CANADA                          	245.7065	50.8713	1247	NRCan              
pre1	Pretoria                                     	South Africa                    	28.224	-25.7463	1416.4	NGA                
pre2	Pretoria                                     	South Africa                    	28.224	-25.7463	1416.4	NGA                
ptbb	Braunschweig                                 	Germany                         	10.4597	52.2962	130.2	BKG                
qaq1	Qaqortoq / Julianehaab                       	Greenland (Denmark)             	313.9522	60.7152	110.4	DNSC               
qiki	Qikiqtarjuaq (Baffin Island)                 	Canada                          	295.9663	67.5593	13.3	NRCan/GSD          
qui1	Quito                                        	Ecuador                         	281.5064	-0.2152	2922.6	NGA                
qui2	Quito                                        	Ecuador                         	281.5064	-0.2152	2922.6	NGA                
quin	Quincy                                       	USA                             	239.0556	39.9746	1105.7651	JPL                
rabt	Rabat                                        	Morocco                         	353.1457	33.9981	90.1	UNAVCO             
ramo	Mitzpe Ramon                                 	Israel                          	34.7631	30.5978	893.1	GSM                
rbay	Richardsbay                                  	South Africa                    	32.0784	-28.7955	31.7927	HRAO               
rcmn	NAIROBI                                      	KENYA                           	36.8938	-1.221	1607.54	RCMRD              
recf	Recife                                       	Brasil                          	325.0485	-8.051	20.2	IBGE               
reso	Resolute (Cornwallis Island)                 	Canada                          	265.1067	74.6908	34.9	NRCan/GSD          
reun	Le Tampon                                    	France                          	55.5717	-21.2083	1558.4	IGN                
reyk	Reykjavik                                    	Iceland                         	338.0445	64.1388	93.1	BKG                
riga	Riga                                         	Latvia                          	24.0587	56.9486	34.7	LUAI               
rio2	Rio Grande                                   	Argentina                       	292.2489	-53.7855	32	GFZ Potsdam        
riop	Riobamba                                     	Ecuador                         	281.3489	-1.6506	2817.188	IG                 
roap	San Fernando                                 	Spain                           	353.7937	36.4643	73.7	ROA                
roch	Pinemeadow                                   	USA                             	243.39	33.61	1393.75	SIO                
rock	Simi Valley                                  	USA                             	241.32	34.24	553.39	USGS               
roth	Rothera Station                              	Antarctica                      	291.8743	-67.5714	39.793	NCL                
salu	São Luis                                     	Brasil                          	315.7875	-2.5935	18.9	IBGE               
sant	Santiago                                     	Chile                           	289.3314	-33.1503	723.0746	JPL                
sask	Saskatoon                                    	Canada                          	253.6016	52.1963	580	NRCan/GSD          
sass	Sassnitz Island of Ruegen                    	Germany                         	13.6433	54.5136	68.2	BKG                
savo	Salvador                                     	Brasil                          	321.5677	-12.9392	76.3	IBGE               
sch2	SCHEFFERVILLE                                	CANADA                          	293.1674	54.8321	498.18	NRCan              
scip	San Clemente Island                          	USA                             	241.51	32.91	452.85	SIO                
scor	Scoresbysund/Ittoqqoormiit                   	Greenland(Denmark)              	338.0497	70.4853	128.5	DNSC               
scub	Santiago de Cuba                             	Cuba                            	284.2377	20.0121	21.95	GFZ                
sele	Almaty                                       	Kazakstan                       	77.0168	43.1791	1340	JPL                
sey1	La Misere                                    	Seychelles                      	55.4794	-4.6737	537.9123	JPL                
sfdm	Piru                                         	USA                             	241.25	34.46	291.5	UNAVCO             
sfer	San Fernando                                 	Spain                           	353.7944	36.4643	85.8	ROA                
