# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
 16.750      6.070      0.636      0.115      0.031    -0.074      1.063      5.441
 16.800      5.883      0.592      0.110      0.037    -0.075      0.669      5.346
 16.850      5.726      0.542      0.107      0.041    -0.074      0.361      5.081
 16.900      5.274      0.507      0.070      0.044    -0.056     -0.194      5.720
 16.950      5.111      0.458      0.053      0.046    -0.052     -0.506      5.798
 17.000      4.995      0.412      0.037      0.049    -0.047     -0.806      5.848
 17.050      4.907      0.370      0.024      0.050    -0.043     -1.134      5.925
 17.100      4.908      0.324      0.002      0.051    -0.041     -1.407      5.927
 17.150      4.715      0.301     -0.065      0.056    -0.043     -1.391      6.541
 17.200      4.996      0.238     -0.078      0.051    -0.040     -1.661      6.043
 17.250      5.263      0.186     -0.084      0.047    -0.037     -2.037      5.589
 17.300      5.702      0.116     -0.081      0.039    -0.031     -2.184      4.843
 17.350      5.980      0.070     -0.085      0.035    -0.029     -2.534      4.555
 17.400      6.309      0.028     -0.090      0.032    -0.029     -2.875      4.199
 17.450      6.675     -0.014     -0.101      0.028    -0.028     -3.244      3.751
 17.500      7.035     -0.055     -0.112      0.023    -0.027     -3.638      3.402
 17.550      7.427     -0.093     -0.121      0.019    -0.025     -4.038      3.048
 17.600      7.973     -0.119     -0.131      0.013    -0.024     -4.323      2.309
 17.650      8.601     -0.161     -0.168      0.008    -0.029     -4.904      1.462
 17.700      9.539     -0.252     -0.171     -0.006    -0.025     -6.218      0.094
 17.750      9.936     -0.266     -0.178     -0.007    -0.026     -6.375     -0.179
 17.800     10.351     -0.280     -0.185     -0.007    -0.026     -6.481     -0.502
 17.850     10.997     -0.303     -0.182     -0.008    -0.033     -6.768     -1.447
 17.900     11.374     -0.313     -0.194     -0.008    -0.033     -6.672     -1.602
 17.950     11.766     -0.322     -0.212     -0.008    -0.033     -6.580     -1.900
 18.000     12.191     -0.333     -0.223     -0.008    -0.034     -6.471     -2.228
 18.050     12.659     -0.349     -0.223     -0.010    -0.034     -6.478     -2.370
 18.100     13.110     -0.362     -0.226     -0.011    -0.035     -6.326     -2.706
 18.150     13.539     -0.374     -0.229     -0.012    -0.035     -6.147     -2.967
 18.200     13.930     -0.381     -0.243     -0.013    -0.036     -6.010     -3.125
 18.250     14.305     -0.390     -0.247     -0.013    -0.037     -5.772     -3.217
 18.300     14.642     -0.396     -0.255     -0.014    -0.038     -5.545     -3.166
 18.350     14.972     -0.400     -0.268     -0.014    -0.039     -5.320     -3.181
 18.400     15.315     -0.393     -0.303     -0.014    -0.046     -5.134     -3.013
 18.450     15.627     -0.386     -0.344     -0.014    -0.053     -5.054     -2.657
 18.500     15.914     -0.377     -0.380     -0.014    -0.060     -4.933     -2.307
 18.550     16.168     -0.369     -0.416     -0.013    -0.068     -4.860     -1.785
 18.600     16.413     -0.359     -0.448     -0.013    -0.079     -4.823     -0.868
 18.650     16.468     -0.370     -0.478     -0.013    -0.076     -4.458      0.202
 18.700     16.882     -0.361     -0.483     -0.014    -0.092     -4.356      0.543
 18.750     17.301     -0.358     -0.482     -0.015    -0.107     -4.402      0.971
 18.800     17.702     -0.359     -0.477     -0.015    -0.119     -4.538      1.333
 18.850     18.095     -0.363     -0.472     -0.016    -0.130     -4.697      1.755
 18.900     18.435     -0.369     -0.473     -0.018    -0.136     -4.870      2.229
 18.950     18.803     -0.378     -0.479     -0.019    -0.141     -5.071      2.498
 19.000     19.192     -0.390     -0.483     -0.020    -0.144     -5.198      2.618
 19.050     19.600     -0.404     -0.487     -0.022    -0.146     -5.246      2.599
 19.100     20.093     -0.417     -0.507     -0.024    -0.148     -5.352      2.145
